date,EUR
15-02-2022,0.00435
16-02-2022,0.004347
17-02-2022,0.004345
18-02-2022,0.004365
19-02-2022,0.004365
20-02-2022,0.004364
21-02-2022,0.004368
22-02-2022,0.004356
23-02-2022,0.004371
24-02-2022,0.004413
25-02-2022,0.004392
26-02-2022,0.004392
27-02-2022,0.004463
28-02-2022,0.004411
01-03-2022,0.004461
02-03-2022,0.004439
03-03-2022,0.00447
04-03-2022,0.00452
05-03-2022,0.004524
06-03-2022,0.004525
07-03-2022,0.004571
08-03-2022,0.004041
09-03-2022,0.003973
10-03-2022,0.003572
11-03-2022,0.003601
12-03-2022,0.003602
13-03-2022,0.003598
14-03-2022,0.00359
15-03-2022,0.003352
